GeneID	type	symbol
1	symbol	A1BG
1	synonym	A1B
1	synonym	ABG
1	synonym	GAB
1	synonym	HYST2477
2	symbol	A2M
2	synonym	A2MD
2	synonym	CPAMD5
2	synonym	FWP007
2	synonym	S863-7
3	symbol	A2MP1
3	synonym	A2MP
9	symbol	NAT1
9	synonym	AAC1
9	synonym	MNAT
9	synonym	NAT-1
9	synonym	NATI
10	symbol	NAT2
10	synonym	AAC2
10	synonym	NAT-2
10	synonym	PNAT
11	symbol	NATP
11	synonym	AACP
11	synonym	NATP1
12	symbol	SERPINA3
12	synonym	AACT
12	synonym	ACT
12	synonym	GIG24
12	synonym	GIG25
13	symbol	AADAC
13	synonym	CES5A1
13	synonym	DAC
14	symbol	AAMP
15	symbol	AANAT
15	synonym	DSPS
15	synonym	SNAT
16	symbol	AARS
16	synonym	CMT2N
16	synonym	EIEE29
17	symbol	AAVS1
17	synonym	AAV
18	symbol	ABAT
18	synonym	GABA-AT
18	synonym	GABAT
18	synonym	NPD009
19	symbol	ABCA1
19	synonym	ABC-1
19	synonym	ABC1
19	synonym	CERP
19	synonym	HDLDT1
19	synonym	TGD
20	symbol	ABCA2
20	synonym	ABC2
21	symbol	ABCA3
21	synonym	ABC-C
21	synonym	ABC3
21	synonym	EST111653
21	synonym	LBM180
21	synonym	SMDP3
22	symbol	ABCB7
22	synonym	ABC7
22	synonym	ASAT
22	synonym	Atm1p
22	synonym	EST140535
23	symbol	ABCF1
23	synonym	ABC27
23	synonym	ABC50
24	symbol	ABCA4
24	synonym	ABC10
24	synonym	ABCR
24	synonym	ARMD2
24	synonym	CORD3
24	synonym	FFM
24	synonym	RMP
24	synonym	RP19
24	synonym	STGD
24	synonym	STGD1
25	symbol	ABL1
25	synonym	ABL
25	synonym	JTK7
25	synonym	bcr/abl
25	synonym	c-ABL
25	synonym	c-ABL1
25	synonym	p150
25	synonym	v-abl
26	symbol	AOC1
26	synonym	ABP
26	synonym	ABP1
26	synonym	DAO
26	synonym	DAO1
26	synonym	KAO
27	symbol	ABL2
27	synonym	ABLL
27	synonym	ARG
28	symbol	ABO
28	synonym	A3GALNT
28	synonym	A3GALT1
28	synonym	GTB
28	synonym	NAGAT
29	symbol	ABR
29	synonym	MDB
30	symbol	ACAA1
30	synonym	ACAA
30	synonym	PTHIO
30	synonym	THIO
31	symbol	ACACA
31	synonym	ACAC
31	synonym	ACACAD
31	synonym	ACC
31	synonym	ACC1
31	synonym	ACCA
32	symbol	ACACB
32	synonym	ACC2
32	synonym	ACCB
32	synonym	HACC275
33	symbol	ACADL
33	synonym	ACAD4
33	synonym	LCAD
34	symbol	ACADM
34	synonym	ACAD1
34	synonym	MCAD
34	synonym	MCADH
35	symbol	ACADS
35	synonym	ACAD3
35	synonym	SCAD
36	symbol	ACADSB
36	synonym	2-MEBCAD
36	synonym	ACAD7
36	synonym	SBCAD
37	symbol	ACADVL
37	synonym	ACAD6
37	synonym	LCACD
37	synonym	VLCAD
38	symbol	ACAT1
38	synonym	ACAT
38	synonym	MAT
38	synonym	T2
38	synonym	THIL
39	symbol	ACAT2
40	symbol	ASIC2
40	synonym	ACCN
40	synonym	ACCN1
40	synonym	ASIC2a
40	synonym	BNC1
40	synonym	BNaC1
40	synonym	MDEG
40	synonym	hBNaC1
41	symbol	ASIC1
41	synonym	ACCN2
41	synonym	ASIC
41	synonym	BNaC2
43	symbol	ACHE
43	synonym	ACEE
43	synonym	ARACHE
43	synonym	N-ACHE
43	synonym	YT
46	symbol	ACLS
47	symbol	ACLY
47	synonym	ACL
47	synonym	ATPCL
47	synonym	CLATP
48	symbol	ACO1
48	synonym	ACONS
48	synonym	HEL60
48	synonym	IREB1
48	synonym	IREBP
48	synonym	IREBP1
48	synonym	IRP1
49	symbol	ACR
50	symbol	ACO2
50	synonym	ACONM
50	synonym	ICRD
50	synonym	OCA8
51	symbol	ACOX1
51	synonym	ACOX
51	synonym	PALMCOX
51	synonym	SCOX
52	symbol	ACP1
52	synonym	HAAP
52	synonym	LMW-PTP
53	symbol	ACP2
53	synonym	LAP
54	symbol	ACP5
54	synonym	SPENCDI
54	synonym	TRAP
55	symbol	ACPP
55	synonym	5'-NT
55	synonym	ACP-3
55	synonym	ACP3
56	symbol	ACRV1
56	synonym	D11S4365
56	synonym	SP-10
56	synonym	SPACA2
58	symbol	ACTA1
58	synonym	ACTA
58	synonym	ASMA
58	synonym	CFTD
58	synonym	CFTD1
58	synonym	CFTDM
58	synonym	MPFD
58	synonym	NEM1
58	synonym	NEM2
58	synonym	NEM3
59	symbol	ACTA2
59	synonym	AAT6
59	synonym	ACTSA
59	synonym	MYMY5
60	symbol	ACTB
60	synonym	BRWS1
60	synonym	PS1TP5BP1
62	symbol	ACTBP2
63	symbol	ACTBP3
64	symbol	ACTBP4
66	symbol	ACTBP6
66	synonym	H8-PSI-BETA-AC3
67	symbol	ACTBP7
68	symbol	ACTBP8
68	synonym	ACTBP2
69	symbol	ACTBP9
70	symbol	ACTC1
70	synonym	ACTC
70	synonym	ASD5
70	synonym	CMD1R
70	synonym	CMH11
70	synonym	LVNC4
71	symbol	ACTG1
71	synonym	ACT
71	synonym	ACTG
71	synonym	BRWS2
71	synonym	DFNA20
71	synonym	DFNA26
71	synonym	HEL-176
72	symbol	ACTG2
72	synonym	ACT
72	synonym	ACTA3
72	synonym	ACTE
72	synonym	ACTL3
72	synonym	ACTSG
72	synonym	VSCM
73	symbol	ACTG1P1
73	synonym	ACT1GP1
73	synonym	ACTGP1
73	synonym	HY-psi-gamma-AC6
74	symbol	ACTG1P2
74	synonym	ACTGP2
74	synonym	ACTL2
75	symbol	ACTG1P3
75	synonym	ACTGP3
75	synonym	dJ545L17.4
78	symbol	ACTG1P6
78	synonym	ACTGP6
79	symbol	ACTG1P7
79	synonym	ACTGP7
80	symbol	ACTG1P8
80	synonym	ACTGP8
81	symbol	ACTN4
81	synonym	ACTININ-4
81	synonym	FSGS
81	synonym	FSGS1
82	symbol	ACTG1P9
82	synonym	ACTGP9
83	symbol	ACTG1P10
83	synonym	ACTGP10
83	synonym	ACTL1
83	synonym	ACTP1
86	symbol	ACTL6A
86	synonym	ACTL6
86	synonym	ARPN-BETA
86	synonym	Arp4
86	synonym	BAF53A
86	synonym	INO80K
87	symbol	ACTN1
87	synonym	BDPLT15
88	symbol	ACTN2
88	synonym	CMD1AA
88	synonym	CMH23
89	symbol	ACTN3
90	symbol	ACVR1
90	synonym	ACTRI
90	synonym	ACVR1A
90	synonym	ACVRLK2
90	synonym	ALK2
90	synonym	FOP
90	synonym	SKR1
90	synonym	TSRI
91	symbol	ACVR1B
91	synonym	ACTRIB
91	synonym	ACVRLK4
91	synonym	ALK4
91	synonym	SKR2
92	symbol	ACVR2A
92	synonym	ACTRII
92	synonym	ACVR2
93	symbol	ACVR2B
93	synonym	ACTRIIB
93	synonym	ActR-IIB
93	synonym	HTX4
94	symbol	ACVRL1
94	synonym	ACVRLK1
94	synonym	ALK-1
94	synonym	ALK1
94	synonym	HHT
94	synonym	HHT2
94	synonym	ORW2
94	synonym	SKR3
94	synonym	TSR-I
95	symbol	ACY1
95	synonym	ACY-1
95	synonym	ACY1D
95	synonym	HEL-S-5
97	symbol	ACYP1
97	synonym	ACYPE
98	symbol	ACYP2
98	synonym	ACYM
98	synonym	ACYP
100	symbol	ADA
101	symbol	ADAM8
101	synonym	CD156
101	synonym	CD156a
101	synonym	MS2
102	symbol	ADAM10
102	synonym	AD10
102	synonym	AD18
102	synonym	CD156c
102	synonym	HsT18717
102	synonym	MADM
102	synonym	RAK
102	synonym	kuz
103	symbol	ADAR
103	synonym	ADAR1
103	synonym	AGS6
103	synonym	DRADA
103	synonym	DSH
103	synonym	DSRAD
103	synonym	G1P1
103	synonym	IFI-4
103	synonym	IFI4
103	synonym	K88DSRBP
103	synonym	P136
104	symbol	ADARB1
104	synonym	ADAR2
104	synonym	DRABA2
104	synonym	DRADA2
104	synonym	RED1
105	symbol	ADARB2
105	synonym	ADAR3
105	synonym	RED2
106	symbol	ADCP1
107	symbol	ADCY1
107	synonym	AC1
107	synonym	DFNB44
108	symbol	ADCY2
108	synonym	AC2
108	synonym	HBAC2
109	symbol	ADCY3
109	synonym	AC3
111	symbol	ADCY5
111	synonym	AC5
111	synonym	FDFM
112	symbol	ADCY6
112	synonym	AC6
112	synonym	LCCS8
113	symbol	ADCY7
113	synonym	AC7
114	symbol	ADCY8
114	synonym	AC8
114	synonym	ADCY3
114	synonym	HBAC1
115	symbol	ADCY9
115	synonym	AC9
116	symbol	ADCYAP1
116	synonym	PACAP
117	symbol	ADCYAP1R1
117	synonym	PAC1
117	synonym	PAC1R
117	synonym	PACAPR
117	synonym	PACAPRI
118	symbol	ADD1
118	synonym	ADDA
119	symbol	ADD2
119	synonym	ADDB
120	symbol	ADD3
120	synonym	ADDL
122	symbol	ADFN
122	synonym	ALDS
123	symbol	PLIN2
123	synonym	ADFP
123	synonym	ADRP
124	symbol	ADH1A
124	synonym	ADH1
125	symbol	ADH1B
125	synonym	ADH2
125	synonym	HEL-S-117
126	symbol	ADH1C
126	synonym	ADH3
127	symbol	ADH4
127	synonym	ADH-2
127	synonym	HEL-S-4
128	symbol	ADH5
128	synonym	ADH-3
128	synonym	ADHX
128	synonym	FALDH
128	synonym	FDH
128	synonym	GSH-FDH
128	synonym	GSNOR
130	symbol	ADH6
130	synonym	ADH-5
131	symbol	ADH7
131	synonym	ADH4
132	symbol	ADK
132	synonym	AK
133	symbol	ADM
133	synonym	AM
133	synonym	PAMP
134	symbol	ADORA1
134	synonym	RDC7
135	symbol	ADORA2A
135	synonym	A2aR
135	synonym	ADORA2
135	synonym	RDC8
136	symbol	ADORA2B
136	synonym	ADORA2
137	symbol	ADORA2BP1
137	synonym	ADORA2BP
140	symbol	ADORA3
140	synonym	A3AR
141	symbol	ADPRH
141	synonym	ARH1
142	symbol	PARP1
142	synonym	ADPRT
142	synonym	ADPRT 1
142	synonym	ADPRT1
142	synonym	ARTD1
142	synonym	PARP
142	synonym	PARP-1
142	synonym	PPOL
142	synonym	pADPRT-1
143	symbol	PARP4
143	synonym	ADPRTL1
143	synonym	ARTD4
143	synonym	PARP-4
143	synonym	PARPL
143	synonym	PH5P
143	synonym	VAULT3
143	synonym	VPARP
143	synonym	VWA5C
143	synonym	p193
144	symbol	PARP1P1
144	synonym	ADPRTP1
144	synonym	PPOLP1
145	symbol	PARP1P2
145	synonym	ADPRTP2
145	synonym	PPOLP2
146	symbol	ADRA1D
146	synonym	ADRA1
146	synonym	ADRA1A
146	synonym	ADRA1R
146	synonym	ALPHA1
146	synonym	DAR
146	synonym	dJ779E11.2
147	symbol	ADRA1B
147	synonym	ADRA1
147	synonym	ALPHA1BAR
148	symbol	ADRA1A
148	synonym	ADRA1C
148	synonym	ADRA1L1
148	synonym	ALPHA1AAR
150	symbol	ADRA2A
150	synonym	ADRA2
150	synonym	ADRA2R
150	synonym	ADRAR
150	synonym	ALPHA2AAR
150	synonym	ZNF32
151	symbol	ADRA2B
151	synonym	ADRA2L1
151	synonym	ADRA2RL1
151	synonym	ADRARL1
151	synonym	ALPHA2BAR
151	synonym	alpha-2BAR
152	symbol	ADRA2C
152	synonym	ADRA2L2
152	synonym	ADRA2RL2
152	synonym	ADRARL2
152	synonym	ALPHA2CAR
153	symbol	ADRB1
153	synonym	ADRB1R
153	synonym	B1AR
153	synonym	BETA1AR
153	synonym	RHR
154	symbol	ADRB2
154	synonym	ADRB2R
154	synonym	ADRBR
154	synonym	B2AR
154	synonym	BAR
154	synonym	BETA2AR
155	symbol	ADRB3
155	synonym	BETA3AR
156	symbol	ADRBK1
156	synonym	BARK1
156	synonym	BETA-ARK1
156	synonym	GRK2
157	symbol	ADRBK2
157	synonym	BARK2
157	synonym	GRK3
158	symbol	ADSL
158	synonym	AMPS
158	synonym	ASASE
158	synonym	ASL
159	symbol	ADSS
159	synonym	ADEH
159	synonym	ADSS 2
160	symbol	AP2A1
160	synonym	ADTAA
160	synonym	AP2-ALPHA
160	synonym	CLAPA1
161	symbol	AP2A2
161	synonym	ADTAB
161	synonym	CLAPA2
161	synonym	HIP-9
161	synonym	HIP9
161	synonym	HYPJ
162	symbol	AP1B1
162	synonym	ADTB1
162	synonym	AP105A
162	synonym	BAM22
162	synonym	CLAPB2
163	symbol	AP2B1
163	synonym	ADTB2
163	synonym	AP105B
163	synonym	AP2-BETA
163	synonym	CLAPB1
164	symbol	AP1G1
164	synonym	ADTG
164	synonym	CLAPG1
165	symbol	AEBP1
165	synonym	ACLP
166	symbol	AES
166	synonym	AES-1
166	synonym	AES-2
166	synonym	ESP1
166	synonym	GRG
166	synonym	GRG5
166	synonym	Grg-5
166	synonym	TLE5
167	symbol	CRISP1
167	synonym	AEGL1
167	synonym	ARP
167	synonym	CRISP-1
167	synonym	HSCRISP1D
167	synonym	HSCRISP1G
167	synonym	HUMARP
169	symbol	AF8T
170	symbol	AFA
171	symbol	AFD1
171	synonym	AFDN
172	symbol	AFG3L1P
172	synonym	AFG3
172	synonym	AFG3L1
173	symbol	AFM
173	synonym	ALB2
173	synonym	ALBA
173	synonym	ALF
174	symbol	AFP
174	synonym	AFPD
174	synonym	FETA
174	synonym	HPAFP
175	symbol	AGA
175	synonym	AGU
175	synonym	ASRG
175	synonym	GA
176	symbol	ACAN
176	synonym	AGC1
176	synonym	AGCAN
176	synonym	CSPG1
176	synonym	CSPGCP
176	synonym	MSK16
176	synonym	SEDK
177	symbol	AGER
177	synonym	RAGE
178	symbol	AGL
178	synonym	GDE
179	symbol	AGMX2
179	synonym	IMD6
179	synonym	XLA2
181	symbol	AGRP
181	synonym	AGRT
181	synonym	ART
181	synonym	ASIP2
182	symbol	JAG1
182	synonym	AGS
182	synonym	AHD
182	synonym	AWS
182	synonym	CD339
182	synonym	HJ1
182	synonym	JAGL1
183	symbol	AGT
183	synonym	ANHU
183	synonym	SERPINA8
185	symbol	AGTR1
185	synonym	AG2S
185	synonym	AGTR1B
185	synonym	AT1
185	synonym	AT1AR
185	synonym	AT1B
185	synonym	AT1BR
185	synonym	AT1R
185	synonym	AT2R1
185	synonym	HAT1R
186	symbol	AGTR2
186	synonym	AT2
186	synonym	ATGR2
186	synonym	MRX88
187	symbol	APLNR
187	synonym	AGTRL1
187	synonym	APJ
187	synonym	APJR
187	synonym	HG11
189	symbol	AGXT
189	synonym	AGT
189	synonym	AGT1
189	synonym	AGXT1
189	synonym	PH1
189	synonym	SPAT
189	synonym	SPT
189	synonym	TLH6
190	symbol	NR0B1
190	synonym	AHC
190	synonym	AHCH
190	synonym	AHX
190	synonym	DAX-1
190	synonym	DAX1
190	synonym	DSS
190	synonym	GTD
190	synonym	HHG
190	synonym	NROB1
190	synonym	SRXY2
191	symbol	AHCY
191	synonym	SAHH
191	synonym	adoHcyase
192	symbol	AIC
196	symbol	AHR
196	synonym	bHLHe76
197	symbol	AHSG
197	synonym	A2HS
197	synonym	AHS
197	synonym	FETUA
197	synonym	HSGA
199	symbol	AIF1
199	synonym	AIF-1
199	synonym	IBA1
199	synonym	IRT-1
199	synonym	IRT1
201	symbol	AIH3
202	symbol	AIM1
202	synonym	CRYBG1
202	synonym	ST4
203	symbol	AK1
203	synonym	HTL-S-58j
204	symbol	AK2
204	synonym	ADK2
204	synonym	AK 2
205	symbol	AK4
205	synonym	AK 4
205	synonym	AK3
205	synonym	AK3L1
205	synonym	AK3L2
206	symbol	AK4P1
206	synonym	AK3P1
207	symbol	AKT1
207	synonym	AKT
207	synonym	CWS6
207	synonym	PKB
207	synonym	PKB-ALPHA
207	synonym	PRKBA
207	synonym	RAC
207	synonym	RAC-ALPHA
208	symbol	AKT2
208	synonym	HIHGHH
208	synonym	PKBB
208	synonym	PKBBETA
208	synonym	PRKBB
208	synonym	RAC-BETA
210	symbol	ALAD
210	synonym	ALADH
210	synonym	PBGS
211	symbol	ALAS1
211	synonym	ALAS
211	synonym	ALAS-H
211	synonym	ALAS3
211	synonym	ALASH
211	synonym	MIG4
212	symbol	ALAS2
212	synonym	ALAS-E
212	synonym	ALASE
212	synonym	ANH1
212	synonym	ASB
212	synonym	XLDPP
212	synonym	XLEPP
212	synonym	XLSA
213	symbol	ALB
213	synonym	ANALBA
213	synonym	FDAH
213	synonym	PRO0883
213	synonym	PRO0903
213	synonym	PRO1341
214	symbol	ALCAM
214	synonym	CD166
214	synonym	MEMD
215	symbol	ABCD1
215	synonym	ABC42
215	synonym	ALD
215	synonym	ALDP
215	synonym	AMN
216	symbol	ALDH1A1
216	synonym	ALDC
216	synonym	ALDH-E1
216	synonym	ALDH1
216	synonym	ALDH11
216	synonym	HEL-9
216	synonym	HEL-S-53e
216	synonym	HEL12
216	synonym	PUMB1
216	synonym	RALDH1
217	symbol	ALDH2
217	synonym	ALDH-E2
217	synonym	ALDHI
217	synonym	ALDM
218	symbol	ALDH3A1
218	synonym	ALDH3
218	synonym	ALDHIII
219	symbol	ALDH1B1
219	synonym	ALDH5
219	synonym	ALDHX
220	symbol	ALDH1A3
220	synonym	ALDH1A6
220	synonym	ALDH6
220	synonym	MCOP8
220	synonym	RALDH3
221	symbol	ALDH3B1
221	synonym	ALDH4
221	synonym	ALDH7
222	symbol	ALDH3B2
222	synonym	ALDH8
223	symbol	ALDH9A1
223	synonym	ALDH4
223	synonym	ALDH7
223	synonym	ALDH9
223	synonym	E3
223	synonym	TMABADH
224	symbol	ALDH3A2
224	synonym	ALDH10
224	synonym	FALDH
224	synonym	SLS
225	symbol	ABCD2
225	synonym	ABC39
225	synonym	ALDL1
225	synonym	ALDR
225	synonym	ALDRP
225	synonym	hALDR
226	symbol	ALDOA
226	synonym	ALDA
226	synonym	GSD12
226	synonym	HEL-S-87p
228	symbol	ALDOAP2
229	symbol	ALDOB
229	synonym	ALDB
229	synonym	ALDO2
230	symbol	ALDOC
230	synonym	ALDC
231	symbol	AKR1B1
231	synonym	ADR
231	synonym	ALDR1
231	synonym	ALR2
231	synonym	AR
236	symbol	AKR1B1P2
236	synonym	ALDRP
238	symbol	ALK
238	synonym	CD246
238	synonym	NBLST3
239	symbol	ALOX12
239	synonym	12-LOX
239	synonym	12S-LOX
239	synonym	LOG12
240	symbol	ALOX5
240	synonym	5-LO
240	synonym	5-LOX
240	synonym	5LPG
240	synonym	LOG5
241	symbol	ALOX5AP
241	synonym	FLAP
242	symbol	ALOX12B
242	synonym	12R-LOX
242	synonym	ARCI2
243	symbol	ALOX12P1
243	synonym	ALOX12P
245	symbol	ALOX12P2
245	synonym	ALOX12E
246	symbol	ALOX15
246	synonym	12-LOX
246	synonym	15-LOX-1
246	synonym	15LOX-1
247	symbol	ALOX15B
247	synonym	15-LOX-2
248	symbol	ALPI
248	synonym	IAP
249	symbol	ALPL
249	synonym	AP-TNAP
249	synonym	APTNAP
249	synonym	HOPS
249	synonym	TNAP
249	synonym	TNSALP
250	symbol	ALPP
250	synonym	ALP
250	synonym	PALP
250	synonym	PLAP
250	synonym	PLAP-1
251	symbol	ALPPL2
251	synonym	ALPG
251	synonym	ALPPL
251	synonym	GCAP
253	symbol	ALS3
253	synonym	ALS6
255	symbol	ALS5
257	symbol	ALX3
257	synonym	FND
257	synonym	FND1
258	symbol	AMBN
258	synonym	AI1F
259	symbol	AMBP
259	synonym	A1M
259	synonym	EDC1
259	synonym	HCP
259	synonym	HI30
259	synonym	IATIL
259	synonym	ITI
259	synonym	ITIL
259	synonym	ITILC
259	synonym	UTI
261	symbol	AMCN
261	synonym	AMC
261	synonym	AMC1
261	synonym	AMCN1
262	symbol	AMD1
262	synonym	ADOMETDC
262	synonym	AMD
262	synonym	SAMDC
263	symbol	AMD1P2
263	synonym	AMD
263	synonym	AMD2
263	synonym	AMDP1
263	synonym	AMDPX
263	synonym	AMDPY
265	symbol	AMELX
265	synonym	AI1E
265	synonym	AIH1
265	synonym	ALGN
265	synonym	AMG
265	synonym	AMGL
265	synonym	AMGX
266	symbol	AMELY
266	synonym	AMGL
266	synonym	AMGY
267	symbol	AMFR
267	synonym	GP78
267	synonym	RNF45
268	symbol	AMH
268	synonym	MIF
268	synonym	MIS
269	symbol	AMHR2
269	synonym	AMHR
269	synonym	MISR2
269	synonym	MISRII
269	synonym	MRII
270	symbol	AMPD1
270	synonym	MAD
270	synonym	MADA
270	synonym	MMDD
271	symbol	AMPD2
271	synonym	PCH9
271	synonym	SPG63
272	symbol	AMPD3
273	symbol	AMPH
273	synonym	AMPH1
274	symbol	BIN1
274	synonym	AMPH2
274	synonym	AMPHL
274	synonym	SH3P9
275	symbol	AMT
275	synonym	GCE
275	synonym	GCST
275	synonym	GCVT
275	synonym	NKH
276	symbol	AMY1A
276	synonym	AMY1
277	symbol	AMY1B
277	synonym	AMY1
278	symbol	AMY1C
278	synonym	AMY1
279	symbol	AMY2A
279	synonym	AMY2
279	synonym	PA
280	symbol	AMY2B
280	synonym	AMY2
280	synonym	AMY3
280	synonym	HXA
281	symbol	AMYP1
281	synonym	AMY2P
282	symbol	ANCR
283	symbol	ANG
283	synonym	ALS9
283	synonym	HEL168
283	synonym	RAA1
283	synonym	RNASE4
283	synonym	RNASE5
284	symbol	ANGPT1
284	synonym	AGP1
284	synonym	AGPT
284	synonym	ANG1
285	symbol	ANGPT2
285	synonym	AGPT2
285	synonym	ANG2
286	symbol	ANK1
286	synonym	ANK
286	synonym	SPH1
286	synonym	SPH2
287	symbol	ANK2
287	synonym	ANK-2
287	synonym	LQT4
287	synonym	brank-2
288	symbol	ANK3
288	synonym	ANKYRIN-G
288	synonym	MRT37
289	symbol	ANOP1
289	synonym	MCOPS4
290	symbol	ANPEP
290	synonym	APN
290	synonym	CD13
290	synonym	GP150
290	synonym	LAP1
290	synonym	P150
290	synonym	PEPN
291	symbol	SLC25A4
291	synonym	1
291	synonym	AAC1
291	synonym	ANT
291	synonym	ANT 1
291	synonym	ANT1
291	synonym	MTDPS12
291	synonym	PEO2
291	synonym	PEO3
291	synonym	T1
292	symbol	SLC25A5
292	synonym	2F1
292	synonym	AAC2
292	synonym	ANT2
292	synonym	T2
292	synonym	T3
293	symbol	SLC25A6
293	synonym	2
293	synonym	3
293	synonym	AAC3
293	synonym	ANT
293	synonym	ANT 2
293	synonym	ANT 3
293	synonym	ANT3
293	synonym	ANT3Y
301	symbol	ANXA1
301	synonym	ANX1
301	synonym	LPC1
302	symbol	ANXA2
302	synonym	ANX2
302	synonym	ANX2L4
302	synonym	CAL1H
302	synonym	HEL-S-270
302	synonym	LIP2
302	synonym	LPC2
302	synonym	LPC2D
302	synonym	P36
302	synonym	PAP-IV
303	symbol	ANXA2P1
303	synonym	ANX2L1
303	synonym	ANX2P1
303	synonym	LPC2A
304	symbol	ANXA2P2
304	synonym	ANX2L2
304	synonym	ANX2P2
304	synonym	LPC2B
305	symbol	ANXA2P3
305	synonym	ANX2L3
305	synonym	ANX2P3
305	synonym	LIP2
305	synonym	LPC2C
306	symbol	ANXA3
306	synonym	ANX3
307	symbol	ANXA4
307	synonym	ANX4
307	synonym	HEL-S-274
307	synonym	PIG28
307	synonym	ZAP36
308	symbol	ANXA5
308	synonym	ANX5
308	synonym	ENX2
308	synonym	HEL-S-7
308	synonym	PP4
308	synonym	RPRGL3
309	symbol	ANXA6
309	synonym	ANX6
309	synonym	CBP68
310	symbol	ANXA7
310	synonym	ANX7
310	synonym	SNX
310	synonym	SYNEXIN
311	symbol	ANXA11
311	synonym	ANX11
311	synonym	CAP50
312	symbol	ANXA13
312	synonym	ANX13
312	synonym	ISA
313	symbol	AOAH
314	symbol	AOC2
314	synonym	DAO2
314	synonym	RAO
316	symbol	AOX1
316	synonym	AO
316	synonym	AOH1
317	symbol	APAF1
317	synonym	APAF-1
317	synonym	CED4
318	symbol	NUDT2
318	synonym	APAH1
319	symbol	APOF
319	synonym	Apo-F
319	synonym	LTIP
320	symbol	APBA1
320	synonym	D9S411E
320	synonym	LIN10
320	synonym	MINT1
320	synonym	X11
320	synonym	X11A
320	synonym	X11ALPHA
321	symbol	APBA2
321	synonym	D15S1518E
321	synonym	HsT16821
321	synonym	LIN-10
321	synonym	MGC:14091
321	synonym	MINT2
321	synonym	X11-BETA
321	synonym	X11L
322	symbol	APBB1
322	synonym	FE65
322	synonym	MGC:9072
322	synonym	RIR
323	symbol	APBB2
323	synonym	FE65L
323	synonym	FE65L1
324	symbol	APC
324	synonym	BTPS2
324	synonym	DP2
324	synonym	DP2.5
324	synonym	DP3
324	synonym	GS
324	synonym	PPP1R46
325	symbol	APCS
325	synonym	HEL-S-92n
325	synonym	PTX2
325	synonym	SAP
326	symbol	AIRE
326	synonym	AIRE1
326	synonym	APECED
326	synonym	APS1
326	synonym	APSI
326	synonym	PGA1
327	symbol	APEH
327	synonym	AARE
327	synonym	ACPH
327	synonym	APH
327	synonym	D3F15S2
327	synonym	D3S48E
327	synonym	DNF15S2
327	synonym	OPH
328	symbol	APEX1
328	synonym	APE
328	synonym	APE1
328	synonym	APEN
328	synonym	APEX
328	synonym	APX
328	synonym	HAP1
328	synonym	REF1
329	symbol	BIRC2
329	synonym	API1
329	synonym	HIAP2
329	synonym	Hiap-2
329	synonym	MIHB
329	synonym	RNF48
329	synonym	c-IAP1
329	synonym	cIAP1
330	symbol	BIRC3
330	synonym	AIP1
330	synonym	API2
330	synonym	CIAP2
330	synonym	HAIP1
330	synonym	HIAP1
330	synonym	MALT2
330	synonym	MIHC
330	synonym	RNF49
330	synonym	c-IAP2
