GeneID	resource	identifier
1	MIM	138670
1	HGNC	HGNC:5
1	Ensembl	ENSG00000121410
1	HPRD	00726
1	Vega	OTTHUMG00000183507
2	MIM	103950
2	HGNC	HGNC:7
2	Ensembl	ENSG00000175899
2	HPRD	00072
2	Vega	OTTHUMG00000150267
3	HGNC	HGNC:8
3	Ensembl	ENSG00000256069
9	MIM	108345
9	HGNC	HGNC:7645
9	Ensembl	ENSG00000171428
9	HPRD	00149
9	Vega	OTTHUMG00000097001
10	MIM	612182
10	HGNC	HGNC:7646
10	Ensembl	ENSG00000156006
10	HPRD	02000
10	Vega	OTTHUMG00000130826
11	HGNC	HGNC:15
12	MIM	107280
12	HGNC	HGNC:16
12	Ensembl	ENSG00000196136
12	Ensembl	ENSG00000273259
12	HPRD	00120
12	Vega	OTTHUMG00000029851
13	MIM	600338
13	HGNC	HGNC:17
13	Ensembl	ENSG00000114771
13	HPRD	02640
13	Vega	OTTHUMG00000159876
14	MIM	603488
14	HGNC	HGNC:18
14	Ensembl	ENSG00000127837
14	HPRD	04600
14	Vega	OTTHUMG00000155202
15	MIM	600950
15	HGNC	HGNC:19
15	Ensembl	ENSG00000129673
15	HPRD	02974
15	Vega	OTTHUMG00000180179
16	MIM	601065
16	HGNC	HGNC:20
16	Ensembl	ENSG00000090861
16	HPRD	03042
16	Vega	OTTHUMG00000177042
17	MIM	102699
17	HGNC	HGNC:22
18	MIM	137150
18	HGNC	HGNC:23
18	Ensembl	ENSG00000183044
18	HPRD	00661
18	Vega	OTTHUMG00000048201
19	MIM	600046
19	HGNC	HGNC:29
19	Ensembl	ENSG00000165029
19	HPRD	02501
19	Vega	OTTHUMG00000020417
20	MIM	600047
20	HGNC	HGNC:32
20	Ensembl	ENSG00000107331
20	HPRD	08967
20	Vega	OTTHUMG00000020958
21	MIM	601615
21	HGNC	HGNC:33
21	Ensembl	ENSG00000167972
21	HPRD	03369
21	Vega	OTTHUMG00000128845
22	MIM	300135
22	HGNC	HGNC:48
22	Ensembl	ENSG00000131269
22	HPRD	02137
22	Vega	OTTHUMG00000021862
23	MIM	603429
23	HGNC	HGNC:70
23	Ensembl	ENSG00000204574
23	HPRD	09139
23	Vega	OTTHUMG00000031094
24	MIM	601691
24	HGNC	HGNC:34
24	Ensembl	ENSG00000198691
24	HPRD	03408
24	Vega	OTTHUMG00000010622
25	MIM	189980
25	HGNC	HGNC:76
25	Ensembl	ENSG00000097007
25	HPRD	01809
25	Vega	OTTHUMG00000020813
26	MIM	104610
26	HGNC	HGNC:80
26	Ensembl	ENSG00000002726
26	HPRD	00088
26	Vega	OTTHUMG00000158306
27	MIM	164690
27	HGNC	HGNC:77
27	Ensembl	ENSG00000143322
27	HPRD	01259
27	Vega	OTTHUMG00000035199
28	MIM	110300
28	HGNC	HGNC:79
28	Ensembl	ENSG00000175164
28	HPRD	05821
29	MIM	600365
29	HGNC	HGNC:81
29	Ensembl	ENSG00000159842
29	HPRD	02649
29	Vega	OTTHUMG00000090313
30	MIM	604054
30	HGNC	HGNC:82
30	Ensembl	ENSG00000060971
30	HPRD	06815
30	Vega	OTTHUMG00000131087
31	MIM	200350
31	HGNC	HGNC:84
31	Ensembl	ENSG00000278540
31	HPRD	01938
31	Vega	OTTHUMG00000188463
32	MIM	601557
32	HGNC	HGNC:85
32	Ensembl	ENSG00000076555
32	HPRD	07044
32	Vega	OTTHUMG00000169250
33	MIM	609576
33	HGNC	HGNC:88
33	Ensembl	ENSG00000115361
33	HPRD	01939
33	Vega	OTTHUMG00000132989
34	MIM	607008
34	HGNC	HGNC:89
34	Ensembl	ENSG00000117054
34	HPRD	08447
34	Vega	OTTHUMG00000009784
35	MIM	606885
35	HGNC	HGNC:90
35	Ensembl	ENSG00000122971
35	HPRD	06053
35	Vega	OTTHUMG00000169203
36	MIM	600301
36	HGNC	HGNC:91
36	Ensembl	ENSG00000196177
36	HPRD	02626
36	Vega	OTTHUMG00000019200
37	MIM	609575
37	HGNC	HGNC:92
